"Source:","D:\Projects\DIY\Keyboard\STM32 keyboard Module\STM32 keyboard Module.kicad_sch"
"Date:","1/30/2024 8:51:17 PM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_mfr_mfr_partno_distribuitor.py"
"Component Count:","43"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Manufacturer","Manufacturer Part No","Distributor Link"
"C1","1","10nF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","Samsung Electro-Mechanics","","https://ro.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10B103KB85PND?qs=349EhDEZ59rulWuZjtsisw%3D%3D",""
"C2, C15, C17","3","1uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","Samsung Electro-Mechanics","","https://ro.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10B105KQ8NNNC?qs=X6jEic%2FHinBnu8L%252B%252B6FfHA%3D%3D",""
"C3, C12","2","10uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","Samsung Electro-Mechanics","","https://ro.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10A106MQ8NNNC?qs=349EhDEZ59qlB6a%2FjjeGAg%3D%3D",""
"C4, C5, C6, C7, C8, C9, C10, C11, C13, C14, C16, C18","12","100nF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","KYOCERA AVX","","https://ro.mouser.com/ProductDetail/KYOCERA-AVX/0402ZD104KAT2A?qs=q%252BYstVZXB1lklOyLRDN9Ng%3D%3D",""
"C19, C20","2","16pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","Murata","","https://ro.mouser.com/ProductDetail/Murata-Electronics/GCM1555C1H160FA16D?qs=QzBtWTOodeXJ5Sja6%2FjLUg%3D%3D",""
"C21, C22","2","19pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","Murata","","https://ro.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H190FB01D?qs=ui%252B2d9lVEI5spSt4MND2Qw%3D%3D",""
"C23","1","4.7uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","Samsung Electro-Mechanics","","https://ro.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10A475KO8NNNC?qs=X6jEic%2FHinAbIjmLnFfqqQ%3D%3D",""
"D1","1","LED","LED","LED_SMD:LED_0402_1005Metric","Light emitting diode","ROHM Semiconductor","","https://ro.mouser.com/ProductDetail/ROHM-Semiconductor/SML-P12VTT86R?qs=Ei%2Fnxee9QYiWICzDN36s0Q%3D%3D",""
"D2","1","USBLC6-4SC6","USBLC6-4SC6","WolffyxLibrary:SOT23-6L_STM","SOT-23-6 TVS Diode Array, 4 protected lines, 5.25V, Alternate KiCAD Library","STMicroelectronics","","https://ro.mouser.com/ProductDetail/STMicroelectronics/USBLC6-4SC6?qs=k9dH%2Fx4GHJCNdehb8zInZg%3D%3D",""
"FID1, FID2, FID3","3","Fiducial","Fiducial","Fiducial:Fiducial_0.5mm_Mask1.5mm","Fiducial Marker","","","",""
