Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10nF,
"C10, C11, C13, C14, C16, C18, C4, C5, C6, C7, C8, C9",0402,12,100nF,
"C12, C3",0603,2,10uF,
"C15, C17, C2",0603,3,1uF,
"C19, C20",0402,2,16pF,
"C21, C22",0402,2,19pF,
C23,0603,1,4.7uF,
D1,0402,1,LED,
D2,SOT23-6L_STM,1,USBLC6-4SC6,
"FID1, FID2, FID3",Fiducial_0.5mm_Mask1.5mm,3,Fiducial,
"J10, J11, J2, J7, J8, J9",Castellated_PinHeader_1x1_P1.27mm,6,PINHD_1x1,
R1,0402,1,220R,
R2,0402,1,10k,
R3,0402,1,1k5,
"SW1, SW2",SW4_PTS815 SJM 250 SMTR LFS_CNK,2,PTS815 SJM 250 SMTR LFS,
U1,SON95P300X300X100-7N,1,LD39050PU33R,
U2,LQFP-100_14x14mm_P0.5mm,1,STM32U575VGT6,
X1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48Mhz,
X2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32khz,
