Designator,Mid X,Mid Y,Rotation,Layer
C1,83.475,-43.0,90.0,top
C10,62.45,-56.85,270.0,top
C11,90.35,-47.25,180.0,top
C12,85.55,-47.45,0.0,top
C13,85.32,-46.05,0.0,top
C14,82.75,-63.3,90.0,top
C15,60.6,-40.0,270.0,top
C16,59.0,-38.165,90.0,top
C17,55.35,-41.205,270.0,top
C18,57.05,-38.165,90.0,top
C19,87.02,-52.0,0.0,top
C2,84.95,-43.0,90.0,top
C20,89.45,-50.0,270.0,top
C21,89.3,-55.2,270.0,top
C22,89.3,-53.2,90.0,top
C23,66.35,-38.8,180.0,top
C3,81.9,-60.825,270.0,top
C4,83.325,-53.85,0.0,top
C5,83.425,-51.375,0.0,top
C6,78.75,-40.65,0.0,top
C7,65.55,-40.55,90.0,top
C8,63.45,-56.85,270.0,top
C9,80.3,-60.5,270.0,top
D1,62.05,-39.9,90.0,top
D2,56.3,-59.33475,90.0,top
FID1,50.6,-35.475,0.0,top
FID2,54.25,-66.1,180.0,top
FID3,95.1,-37.875,0.0,top
J10,58.48,-67.0,0.0,top
J11,57.025,-67.01,0.0,top
J2,51.075,-64.2,270.0,top
J3,72.265,-67.01,0.0,top
J4,95.36,-52.265,90.0,top
J5,51.075,-50.21,270.0,top
J6,79.175,-36.29,180.0,top
J7,86.305,-66.975,0.0,top
J8,87.77,-66.9875,0.0,top
J9,89.245,-66.9875,0.0,top
R1,83.875,-63.3,90.0,top
R2,81.7,-63.3,270.0,top
R3,60.8,-42.0,0.0,top
SW1,89.75,-43.6308,270.0,top
SW2,86.4915,-59.7692,90.0,top
U1,58.05,-41.515,90.0,top
U2,73.25,-50.35,180.0,top
X1,87.2,-50.05,0.0,top
X2,90.75,-53.95,270.0,top
